timestamp,catalog,instrument,technique,long,lat,speed,type,half_width,time_21_5,earth_prediction,PE
3/15/15 2:00,M2M_CATALOG,SOHO: LASCO/C2,,28,-15,1000,O,38,2015-03-15T04:40Z,2015-03-17T11:39Z,7.6
4/4/15 23:36,M2M_CATALOG,SOHO: LASCO/C2,,-29,-25,1090,O,36,2015-04-05T02:45Z,2015-04-07T01:12Z,-48
4/6/15 20:36,M2M_CATALOG,SOHO: LASCO/C2,,-15,-9,917,C,22,2015-04-06T23:03Z,2015-04-09T06:46Z,-2.4
5/6/15 17:00,M2M_CATALOG,SOHO: LASCO/C2,,26,-11,576,C,29,2015-05-06T23:26Z,2015-05-09T19:35Z,-4.5
5/13/15 18:48,M2M_CATALOG,SOHO: LASCO/C3,,7,37,354,S,37,2015-05-14T03:55Z,2015-05-17T12:00Z,8
6/9/15 20:00,M2M_CATALOG,SOHO: LASCO/C2,,-31,30,853,C,43,2015-06-10T00:05Z,2015-06-12T12:19Z,0
6/18/15 17:24,M2M_CATALOG,SOHO: LASCO/C2,,-50,11,1000,O,45,2015-06-18T20:00Z,2015-06-21T08:23Z,-7.3
6/19/15 6:42,M2M_CATALOG,SOHO: LASCO/C2,,9,-33,603,C,54,2015-06-19T14:59Z,2015-06-21T08:23Z,-20.5
6/21/15 2:48,M2M_CATALOG,SOHO: LASCO/C2,,-8,7,1250,O,47,2015-06-21T05:01Z,2015-06-22T21:43Z,3.7
6/22/15 18:36,M2M_CATALOG,SOHO: LASCO/C2,,3,14,1155,O,45,2015-06-22T21:10Z,2015-06-24T18:18Z,5.3
6/25/15 8:36,M2M_CATALOG,SOHO: LASCO/C2,,46,23,1450,O,41,2015-06-25T10:51Z,2015-06-28T02:00Z,22.5
8/12/15 15:12,M2M_CATALOG,SOHO: LASCO/C2,,36,-22,567,C,41,2015-08-12T21:22Z,2015-08-16T09:16Z,25.6
8/13/15 0:30,M2M_CATALOG,SOHO: LASCO/C2,,32,-15,403,S,23,2015-08-13T05:02Z,2015-08-16T09:16Z,25.6
9/18/15 5:00,M2M_CATALOG,SOHO: LASCO/C2,,7,-26,744,C,38,2015-09-18T09:37Z,2015-09-20T17:14Z,11.7
10/22/15 3:12,M2M_CATALOG,SOHO: LASCO/C2,,37,-13,861,C,43,2015-10-22T07:09Z,2015-10-24T11:49Z,-6.6
11/4/15 14:24,M2M_CATALOG,SOHO: LASCO/C2,,18,-6,780,C,50,2015-11-04T19:30Z,2015-11-07T08:40Z,15.1
11/16/15 3:12,M2M_CATALOG,SOHO: LASCO/C2,,31,-28,827,C,41,2015-11-16T06:45Z,2015-11-18T11:49Z,-7.6
12/16/15 9:36,M2M_CATALOG,SOHO: LASCO/C2,,-30,12,650,C,45,2015-12-16T15:30Z,2015-12-19T01:17Z,-14.2
12/16/15 14:48,M2M_CATALOG,SOHO: LASCO/C2,,-9,-8,580,C,45,2015-12-16T20:55Z,2015-12-19T01:17Z,-14.2
12/28/15 12:39,M2M_CATALOG,STEREO A: SECCHI/COR2,,14,-15,850,C,58,2015-12-28T16:43Z,2015-12-30T18:26Z,-5.6
